Country,Indicator,Date,Value
Nigeria,Cases,2014-08-31,21
Nigeria,Cases,2014-08-06,13
Nigeria,Cases,2014-08-20,16
Nigeria,Cases,2014-08-13,12
Nigeria,Cases,2014-09-23,20
Nigeria,Cases,2014-08-04,9
Nigeria,Cases,2014-08-18,15
Nigeria,Cases,2014-09-10,21
Nigeria,Cases,2014-10-19,20
Nigeria,Cases,2014-08-01,4
Nigeria,Cases,2014-07-27,1
Sierra Leone,Cases,2014-09-23,2021
Sierra Leone,Cases,2014-04-01,2
Sierra Leone,Cases,2014-05-10,0
Sierra Leone,Cases,2014-05-07,0
Sierra Leone,Cases,2014-09-28,2304
Sierra Leone,Cases,2014-05-05,0
Sierra Leone,Cases,2014-03-31,2
Sierra Leone,Cases,2014-05-03,0
Sierra Leone,Cases,2014-10-01,2437
Sierra Leone,Cases,2014-05-01,0
Sierra Leone,Cases,2014-04-26,0
Sierra Leone,Cases,2014-08-11,783
Sierra Leone,Cases,2014-10-19,3706
Sierra Leone,Cases,2014-08-09,730
Sierra Leone,Cases,2014-08-13,810
Sierra Leone,Cases,2014-04-24,0
Sierra Leone,Cases,2014-08-06,717
Sierra Leone,Cases,2014-04-23,0
Sierra Leone,Cases,2014-08-04,691
Sierra Leone,Cases,2014-08-16,848
Sierra Leone,Cases,2014-10-05,2789
Sierra Leone,Cases,2014-08-01,646
Sierra Leone,Cases,2014-04-15,12
Sierra Leone,Cases,2014-07-06,305
Sierra Leone,Cases,2014-09-05,1261
Sierra Leone,Cases,2014-07-02,252
Sierra Leone,Cases,2014-04-11,2
Sierra Leone,Cases,2014-06-30,239
Sierra Leone,Cases,2014-09-07,1424
Sierra Leone,Cases,2014-06-20,158
Sierra Leone,Cases,2014-06-18,136
Sierra Leone,Cases,2014-09-10,1478
Sierra Leone,Cases,2014-06-17,97
Sierra Leone,Cases,2014-04-09,2
Sierra Leone,Cases,2014-06-10,89
Sierra Leone,Cases,2014-09-13,1620
Sierra Leone,Cases,2014-06-05,81
Sierra Leone,Cases,2014-04-07,2
Sierra Leone,Cases,2014-10-12,3252
Sierra Leone,Cases,2014-06-01,79
Sierra Leone,Cases,2014-09-14,1673
Sierra Leone,Cases,2014-03-27,6
Sierra Leone,Cases,2014-05-28,50
Sierra Leone,Cases,2014-09-20,1813
Sierra Leone,Cases,2014-04-04,2
Sierra Leone,Cases,2014-05-27,16
Sierra Leone,Cases,2014-09-21,1940
Sierra Leone,Cases,2014-05-23,0
Sierra Leone,Cases,2014-05-12,0
Sierra Leone,Cases,2014-08-20,910
Sierra Leone,Cases,2014-07-20,454
Sierra Leone,Cases,2014-07-17,442
Sierra Leone,Cases,2014-08-26,1026
Sierra Leone,Cases,2014-03-28,2
Sierra Leone,Cases,2014-07-14,397
Sierra Leone,Cases,2014-10-08,2950
Sierra Leone,Cases,2014-07-12,386
Sierra Leone,Cases,2014-08-31,1216
Sierra Leone,Cases,2014-07-08,337
Sierra Leone,Cases,2014-04-22,0
Sierra Leone,Cases,2014-07-30,574
Sierra Leone,Cases,2014-08-18,907
Sierra Leone,Cases,2014-10-14,3410
Sierra Leone,Cases,2014-07-27,533
Sierra Leone,Cases,2014-07-23,525
Spain,Cases,2014-10-14,1
Spain,Cases,2014-10-19,1
Spain,Cases,2014-10-12,1
Spain,Cases,2014-10-08,1
United States,Cases,2014-10-12,2
United States,Cases,2014-10-01,1
United States,Cases,2014-10-14,3
United States,Cases,2014-10-19,3
United States,Cases,2014-10-08,1
United States,Cases,2014-10-05,1
